labels,all_crashes,number_of_crashes,center_lat,center_lng
1,0,2,55.630491500000005,37.4694355
3,0,5,55.7632798,37.560661599999996
10,1,2,55.79709,37.7692635
16,0,2,55.7722825,37.6374435
28,0,2,55.7028355,37.626484000000005
29,0,2,55.6671235,37.807608
33,0,2,55.680904999999996,37.7493825
37,0,2,55.8006655,37.383127
42,0,2,55.7823475,37.718784
43,0,2,55.719131000000004,37.782213
47,1,2,55.701460499999996,37.458873
50,0,2,55.6451855,37.36484
52,0,2,55.5778505,37.586723000000006
56,0,3,55.74512033333333,37.600626
62,0,2,55.491629,37.313583
65,1,2,55.802218499999995,37.3196875
67,0,2,55.8532575,37.517549
69,0,4,55.836744,37.6580805
70,0,3,55.889159666666664,37.712642
72,0,2,55.742885,37.789604999999995
76,0,7,55.815979142857145,37.717189285714284
77,0,3,55.823478,37.558157333333334
80,1,2,55.634973,37.673294
81,0,2,55.7092825,37.732587
83,1,4,55.8108785,37.811739
89,0,2,55.618618,37.783854500000004
91,0,2,55.872157,37.499809
92,0,2,55.726136999999994,37.4171695
93,1,3,55.775131,37.83547633333333
98,0,2,55.751955,37.368831
102,0,2,55.723624,37.1785495
103,0,2,55.6958975,37.8085685
104,0,2,55.759037,37.7563835
106,0,2,55.7902285,37.488307500000005
107,0,5,55.7777254,37.522780000000004
111,0,4,55.849457,37.44065025
112,0,2,55.661595500000004,37.463733000000005
115,1,2,55.726787,37.6520455
117,1,2,55.86403,37.548770000000005
122,0,2,55.539226,37.399536999999995
123,0,2,55.729572000000005,37.5454435
124,0,2,55.733668,37.701826999999994
131,0,2,55.810027,37.636821499999996
133,0,2,55.587459,37.6354105
134,0,2,55.4301275,36.8610835
136,0,2,55.611714,37.286804
143,1,2,55.799101,37.5840035
144,0,3,55.622005,37.74598366666667
148,0,2,55.821432,37.49608
152,0,3,55.794116333333335,37.454635
153,0,2,55.473837,37.536415500000004
154,0,2,55.8443705,37.559326999999996
157,0,3,55.690625,37.13376766666667
159,0,2,55.765682999999996,37.7004435
163,0,3,55.656635666666666,37.741345333333335
164,0,2,55.916674,37.5445855
168,0,4,55.799280499999995,37.79912175
169,0,5,55.7051806,37.7669876
178,0,2,55.869207,37.667377
180,0,2,55.690884499999996,37.717266
183,0,2,55.777985,37.743021
185,0,2,55.756676,37.614633999999995
190,0,2,55.842916,37.3692335
192,0,2,55.8951885,37.557486999999995
196,0,2,55.7690145,37.651021
197,0,2,55.7114375,37.586625999999995
199,0,2,55.773754999999994,37.6186785
201,1,2,55.429908499999996,36.961409
202,1,5,55.809713,37.7818578
206,0,2,55.7497875,37.565002500000006
210,0,3,55.878282,37.733702666666666
212,0,2,55.894067,37.522323
218,0,2,55.647940000000006,37.5388725
221,0,2,55.6769005,37.5066375
222,0,3,55.642471666666665,37.45564366666667
228,0,2,55.712438,37.814764
232,0,2,55.677910999999995,37.530949500000006
235,0,2,55.707766,37.918046
237,0,2,55.607381000000004,37.607537
242,0,2,55.853444499999995,37.4993475
243,0,3,55.808018000000004,37.570985666666665
244,0,3,55.66652466666667,37.838033333333335
246,0,5,55.5661354,37.575452399999996
248,0,2,55.773206,37.435838
250,0,3,55.61748333333333,37.386392666666666
252,0,2,55.567366,37.4815645
257,1,3,55.895942,37.659123
259,0,2,55.5648755,37.178641
260,0,2,55.736673499999995,37.854949000000005
263,0,2,55.771643,37.8195445
266,0,3,55.82059533333334,37.871246666666664
268,0,2,55.7958955,37.292592
272,0,7,55.675945,37.85695242857143
274,0,2,55.67099,37.5553305
277,0,2,55.7791195,37.396506
289,0,3,55.818182,37.61719466666667
298,0,2,55.7896165,37.682167
313,1,2,55.8210825,37.750037
316,0,2,55.609396000000004,37.545041499999996
318,0,2,55.898149000000004,37.627938
319,0,2,55.611069,37.722249500000004
320,0,2,55.732937,37.576418000000004
321,0,2,55.782875000000004,37.7015755
322,1,2,55.5953345,37.514185499999996
328,0,4,55.863464,37.566652
329,0,2,55.7728645,37.605729
331,0,4,55.66388325,37.578883
332,0,3,55.708993,37.851988
333,0,3,55.810538666666666,37.79856933333333
336,0,2,55.5750485,37.564921999999996
344,0,2,55.766495,37.3695235
347,0,3,55.81568033333333,37.692371333333334
348,0,2,55.713465,37.717931
351,0,3,55.80863333333333,37.49598733333333
354,0,4,55.7379805,37.41172475
357,0,3,55.644714,37.754130333333336
363,0,4,55.879602,37.5871735
364,0,2,55.551866000000004,37.5540805
367,0,3,55.67737233333333,37.762541666666664
369,0,2,55.722875,37.4480795
374,0,2,55.600126,37.482235
376,0,2,55.750898500000005,37.6970635
383,0,3,55.836701,37.483202
384,0,2,55.252041,37.165321
386,0,2,55.6197875,37.482165
394,0,2,55.8325295,37.355624
402,0,2,55.8021495,37.839929
408,0,3,55.624262333333334,37.71107933333333
411,0,2,55.873761,37.5499985
415,0,2,55.7966975,37.717395
417,0,2,55.573729,37.633565000000004
418,0,2,55.503039,37.267159500000005
425,0,3,55.61861666666667,37.50490666666667
426,0,4,55.54661175,37.51519675
433,0,3,55.88761133333333,37.585794666666665
437,0,2,55.602454,37.5019275
438,0,2,55.8888085,37.59780550000001
439,0,4,55.80040375,37.560866250000004
442,0,2,55.555955999999995,37.5877315
443,0,2,55.716705000000005,37.619451
444,0,9,55.690344555555555,37.621996333333335
445,0,2,55.774840999999995,37.684205
446,0,2,55.637114,37.511508500000005
449,0,2,55.6986735,37.830299999999994
450,0,2,55.760534,37.519448
452,0,2,55.715275500000004,37.5356805
460,0,3,55.866031,37.476454
463,0,2,55.639318,37.329242
471,0,2,55.9426605,37.543357
478,2,2,55.709893,37.594249500000004
479,0,3,55.812976,37.578059333333336
480,0,2,55.651745,37.729304
481,0,3,55.643467,37.46975533333333
482,0,2,55.7200345,37.500763500000005
483,0,2,55.980740999999995,37.170557
490,1,2,55.7484835,37.763343500000005
493,1,8,55.6322925,37.619888625
499,0,3,55.69333,37.53589866666667
500,0,3,55.646512333333334,37.51688
506,0,2,55.620987,37.671647
507,0,2,55.809273000000005,37.704837
509,0,4,55.800717000000006,37.479684
512,1,2,55.582134999999994,37.7046595
518,0,2,55.6693985,37.625024499999995
524,0,2,55.781369999999995,37.764146
527,1,2,55.7818495,37.668101
532,0,2,55.6045965,37.737865
534,0,2,55.591791,37.7294435
537,0,2,55.895450499999995,37.675541499999994
547,0,2,55.743444,37.654872499999996
550,0,2,55.736607,37.624328
557,1,2,55.8433105,37.491499
558,0,2,55.6183395,37.606877
559,0,2,55.7784075,37.585323
560,0,2,55.8547175,37.4089995
561,0,2,55.772147000000004,37.420908499999996
565,0,4,55.7993375,37.73414775
567,0,3,55.803238666666665,37.823152666666665
570,0,2,55.535664999999995,37.515382
571,0,3,55.59241866666667,37.525374
573,0,2,55.737377,37.824919
577,0,3,55.68014933333333,37.671679
578,0,2,55.952528,37.34762
579,0,2,55.894452,37.696141
583,0,2,55.637956,37.7478595
589,0,2,55.9581315,37.186837499999996
597,0,2,55.728426999999996,37.583687
601,0,2,55.580622000000005,37.574213
602,0,2,55.580709999999996,37.642148000000006
603,0,3,55.65741633333334,37.79648433333333
604,0,2,55.765544500000004,37.8429705
609,0,2,55.869637999999995,37.6211035
612,0,3,55.78056733333334,37.63339166666667
613,0,2,55.663199000000006,37.473603499999996
622,0,2,55.860806,37.433719499999995
623,0,3,55.74503,37.572198
626,0,2,55.891901000000004,37.5766645
628,0,2,55.802544499999996,37.546039
630,0,2,55.5601065,37.4216225
635,0,2,55.605151,37.339681
641,0,2,55.720119,37.778356
642,0,2,55.837695999999994,37.5413725
645,0,2,55.800238,37.333473999999995
647,0,2,55.72547,37.457252999999994
649,0,2,55.720361,37.5991095
656,0,3,55.89727533333333,37.643805666666665
658,1,2,55.6936665,37.558951500000006
662,0,2,55.740964500000004,37.537611999999996
665,0,2,55.663998,37.75405
667,0,3,55.630602333333336,37.75147333333334
670,0,2,55.8669405,37.493044
671,0,3,55.72908366666667,37.564795
673,0,2,55.87219,37.6921555
679,0,2,55.699015,37.7330535
680,0,2,55.733858,37.402729
681,0,2,55.7179495,37.7058935
683,0,2,55.82801,37.4177705
685,0,2,55.8126225,37.4757815
687,0,3,55.548902999999996,37.524819666666666
690,0,2,55.789146,37.3903045
692,0,2,55.470434499999996,36.9280315
696,0,2,55.865336,37.5055805
699,0,2,55.825187,37.602092
701,0,2,55.6277325,37.517564500000006
703,0,2,55.843651,37.502517499999996
706,2,2,55.547165500000006,37.545491999999996
711,0,2,55.674417,37.4411595
715,0,2,55.639094,37.6548085
720,0,2,55.7562505,37.2363785
724,0,2,55.704069000000004,37.774386500000006
727,0,4,55.764607,37.6055305
729,0,4,55.7775355,37.46348625
745,0,3,55.601117333333335,37.67095333333333
746,0,3,55.739816,37.616286
750,0,2,55.81985,37.8005755
756,0,2,55.602057,37.327616500000005
759,0,2,55.647428500000004,37.743680499999996
761,0,2,55.7086965,37.905589
762,0,2,55.8125045,37.503349
763,0,2,55.8484755,37.4232315
764,0,2,55.910033,37.5645895
765,0,2,55.851779,37.6456675
774,0,3,55.56668466666667,37.601695
775,0,2,55.900143,37.546345
776,0,4,55.88488875,37.72093
777,0,3,55.752222,37.57316733333333
782,0,2,55.673582499999995,37.1703475
785,0,3,55.795467,37.58217966666667
792,1,2,55.581458999999995,37.597258499999995
794,0,2,55.705178000000004,37.8606465
796,0,2,55.857476,37.567406000000005
798,0,3,55.805660333333336,37.582172
800,0,2,55.8375695,37.438401999999996
802,0,2,55.769304000000005,37.512237999999996
803,0,2,55.6736305,37.575141
812,0,2,55.706593,37.412857
814,0,2,55.784842,37.567695
815,0,4,55.767210000000006,37.622053
819,0,3,55.82144533333334,37.623742666666665
822,0,2,55.864045,37.3720175
831,0,2,55.727826,37.6230135
832,0,2,55.724278999999996,37.827172000000004
836,0,3,55.68725833333333,37.603046666666664
840,0,6,55.7417325,37.54692433333334
843,0,2,55.6454365,37.619682
844,0,2,55.769337500000006,37.746776
849,0,2,55.743679,37.698453
852,0,2,55.778326,37.842530499999995
864,0,3,55.78646,37.730173
871,0,2,55.710948,37.836431000000005
873,0,3,55.685511999999996,37.53771566666667
874,0,4,55.75670825,37.55878275
876,0,2,55.6693925,37.610573
879,0,2,55.6376075,37.46111
880,0,2,55.504864999999995,37.5836115
881,0,2,55.864059999999995,37.42476
882,1,4,55.616098,37.486349249999996
884,0,2,55.826341,37.5725075
887,1,2,55.887975499999996,37.4859735
889,0,2,55.6975215,37.785464000000005
890,0,2,55.649157,37.5633665
893,0,3,55.72173466666666,37.90254233333333
894,0,2,55.572903999999994,37.678180499999996
896,0,3,55.706925,37.57914666666667
897,0,3,55.850941,37.435101333333336
901,0,2,55.849948499999996,37.3548945
902,0,2,55.6596405,37.6193385
905,0,3,55.588499666666664,37.722147666666665
909,0,4,55.72296825,37.7695825
913,0,3,55.855239,37.476954666666664
914,0,3,55.876292,37.534797
916,0,2,55.7470705,37.815344
920,0,2,55.767270499999995,37.5292005
921,0,2,55.724708500000006,37.689102500000004
923,0,2,55.970961,37.182835499999996
925,0,2,55.6479095,37.449029
931,0,2,55.898635999999996,37.576911
935,0,2,55.611444500000005,37.3640945
936,0,2,55.7276085,37.6123165
937,0,3,55.641273,37.500847666666665
940,0,2,55.531676000000004,37.531223
947,0,2,55.830372,37.552552000000006
948,0,2,55.6963,37.620808499999995
952,0,3,55.60963666666667,37.709105
959,0,3,55.64169866666666,37.358408
962,0,2,55.762113,37.8215985
964,0,3,55.675481,37.50414466666667
966,0,4,55.713763,37.66492825
971,0,2,55.6300555,37.6618895
974,0,2,55.758835000000005,37.64666
978,0,2,55.683004499999996,37.855695
981,0,2,55.823957500000006,37.835766
982,0,2,55.857042,37.658794
983,0,2,55.740016499999996,37.7714735
