labels,number_of_injured,number_of_crashes,center_lat,center_lng
0,7,3,55.66098933333333,37.74057666666667
4,2,2,55.7266175,37.623893
5,6,3,55.852085333333335,37.45163433333334
518,5,2,55.7656525,37.832537
6,0,2,55.726977000000005,37.839746500000004
9,2,2,55.801407499999996,37.718869999999995
11,3,2,55.998143999999996,37.158272
14,16,2,55.621005499999995,37.2700615
527,4,2,55.5874585,37.5453095
526,4,2,55.677040000000005,37.564863
17,4,2,55.767877,37.5387705
24,4,2,55.718409,37.7048045
27,5,4,55.889278,37.58692425
28,4,2,55.5794395,37.587270000000004
31,2,2,55.621041500000004,37.7431815
32,2,2,55.918219500000006,37.3962165
34,4,3,55.86891066666667,37.66421166666667
547,4,2,55.761979999999994,37.3690455
35,2,2,55.7059005,37.762118
37,1,2,55.608899,37.3533275
46,0,2,55.7346195,37.224683999999996
47,4,2,55.882247,37.724464999999995
50,5,2,55.609620500000005,37.608599
53,5,2,55.504864999999995,37.5836115
57,4,3,55.798342,37.584007
58,6,3,55.77156033333333,37.819383333333334
60,5,2,55.578972,37.684758
576,3,2,55.7709485,37.5959875
65,2,2,55.8131555,37.5026355
66,4,2,55.709431,37.9230235
67,5,2,55.473363,37.5373865
71,4,2,55.6965115,37.8070935
73,5,2,55.731795000000005,37.659732500000004
74,4,2,55.6588265,37.7692205
75,2,2,55.6636745,37.509427
76,7,2,55.452712000000005,36.899739499999995
587,4,3,55.659113,37.73393866666667
79,8,3,55.684194,37.655146333333334
84,5,2,55.7598485,37.611008
87,4,2,55.81365,37.3927725
88,5,2,55.761810499999996,37.692471999999995
89,6,4,55.807977,37.637266499999996
90,4,2,55.749555,37.318486
93,4,3,55.726503666666666,37.54848
95,4,2,55.873264500000005,37.45575100000001
608,4,2,55.688215,37.428387
609,4,2,55.713139,37.7189075
96,4,2,55.5863495,37.2670895
99,2,2,55.6685515,37.4455045
612,5,2,55.622844,37.595424
103,5,2,55.951365499999994,37.554719000000006
105,4,2,55.744660499999995,37.851435499999994
106,6,3,55.763086333333334,37.56047866666667
111,5,2,55.708246,37.3907445
625,4,2,55.8060775,37.4087155
113,6,3,55.80238633333333,37.52503733333333
115,2,2,55.736262,37.800876
630,4,2,55.681922,37.6647325
120,2,2,55.789888000000005,37.6161145
633,4,2,55.716644,37.5708065
122,7,2,55.768257,37.251549
123,4,2,55.601354,37.722705500000004
124,5,3,55.809594,37.78131
637,3,2,55.6618045,37.8392745
638,8,3,55.74318233333334,37.583964
125,2,2,55.842925,37.491794
128,8,4,55.7486205,37.582713
129,5,2,55.8478525,37.792829499999996
130,3,2,55.679139000000006,37.5953325
643,0,2,55.6078115,37.4946265
132,4,2,55.539226,37.399536999999995
134,6,3,55.61728133333334,37.78028366666666
139,3,2,55.8754975,37.567422
142,4,2,55.644704000000004,37.7540765
143,7,3,55.50475466666666,37.52991166666666
146,3,2,55.7834845,37.7001485
151,2,2,55.8780915,37.4327105
155,3,2,55.8455875,37.66963
158,4,2,55.8417715,37.563463
159,6,4,55.66320525,37.4316215
161,4,2,55.776232,37.4698595
164,2,2,55.784091000000004,37.841693500000005
172,3,3,55.58207633333333,37.704395
684,4,3,55.61583533333334,37.48658866666666
173,6,4,55.6014885,37.503054
175,2,3,55.61297966666667,37.489775333333334
176,3,2,55.617737000000005,37.387585
689,0,2,55.651396500000004,37.387102
179,2,2,55.5915635,37.600359499999996
181,5,2,55.752365499999996,37.369023999999996
701,4,2,55.6510725,37.8339905
190,5,2,55.745331,37.5339745
191,4,2,55.595780000000005,37.739325
189,4,2,55.9199,37.544054
197,1,2,55.888245999999995,37.486847999999995
198,5,2,55.6817765,37.775438
711,7,2,55.590157000000005,37.282448
203,6,3,55.732430666666666,37.495676333333336
206,2,2,55.808769999999996,37.616946
210,2,2,55.767484499999995,37.798773
722,5,2,55.694843000000006,37.7345505
211,5,2,55.7581315,37.842858
212,4,2,55.826868,37.710876999999996
729,2,2,55.576859,37.591089499999995
219,0,2,55.619267,37.7561315
221,4,2,55.7111685,37.819276
735,8,3,55.79846466666667,37.729379
736,8,2,55.723201,37.6932605
740,1,2,55.772904,37.8242645
236,2,2,55.870962,37.7117195
239,4,2,55.708956,37.7471995
241,5,2,55.7210525,37.432716
754,2,2,55.729695500000005,37.706858999999994
244,4,2,55.804845,37.662753
247,2,2,55.874790000000004,37.609355
760,2,2,55.4279995,37.394349500000004
250,4,2,55.8203625,37.837590000000006
253,2,2,55.6518205,37.619682
254,4,2,55.642503,37.4556115
768,4,2,55.6192815,37.7128725
258,2,2,55.5924545,37.52455500000001
773,6,2,55.7075355,37.590537
263,2,2,55.7336615,37.7110165
778,4,2,55.723944,37.556703999999996
268,3,2,55.639739000000006,37.8184605
269,7,2,55.6983195,37.4037855
275,2,2,55.785925,37.56335
788,5,2,55.7106065,37.581482
277,4,2,55.871452500000004,37.4111135
278,4,2,55.5914335,37.6641155
794,3,2,55.5977775,37.7437235
286,0,3,55.70156933333333,37.62130033333333
287,4,2,55.797644500000004,37.382054499999995
293,4,2,55.749972,37.434389499999995
294,0,2,55.588732,37.275983499999995
813,5,2,55.752233000000004,37.573226500000004
819,2,2,55.726787,37.6520455
820,3,2,55.5615085,37.44426
308,6,3,55.744431999999996,37.841627333333335
309,4,2,55.7669475,37.8220655
823,4,2,55.772147000000004,37.420908499999996
824,4,2,55.716937,37.744823499999995
314,4,2,55.8150275,37.6383395
317,4,2,55.693197999999995,37.5761925
319,4,2,55.620227,37.607832
832,7,3,55.768607333333335,37.369373
320,4,2,55.839355499999996,37.809298
322,4,2,55.702521,37.849649
831,7,2,55.690346500000004,37.6218705
321,3,2,55.766943999999995,37.601223
334,4,2,55.6986735,37.830299999999994
335,4,2,55.5601065,37.4216225
342,9,3,55.705337666666665,37.595705
