type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,3,4,55.780581,37.633144
Светлое время суток,4,3,55.676777666666666,37.506473
Светлое время суток,5,2,55.984513,37.172997499999994
Светлое время суток,9,2,55.8518695,37.6458335
Светлое время суток,2059,2,55.7700435,37.584298000000004
Светлое время суток,12,2,55.8026075,37.524882000000005
Светлое время суток,13,2,55.74056,37.700357499999996
Светлое время суток,2064,2,55.836645000000004,37.483243
Светлое время суток,2066,2,55.602454,37.5019275
Светлое время суток,2067,3,55.756718,37.558823
Светлое время суток,19,2,55.943084,37.543437499999996
Светлое время суток,2069,2,55.8522635,37.4396625
Светлое время суток,22,2,55.779523999999995,37.7315245
Светлое время суток,2071,2,55.683004499999996,37.855695
Светлое время суток,24,2,55.899164999999996,37.550009
Светлое время суток,20,3,55.624262333333334,37.71107933333333
Светлое время суток,26,4,55.77279675,37.58991475
Светлое время суток,2075,2,55.782598,37.598025500000006
Светлое время суток,29,2,55.7562505,37.2363785
Светлое время суток,2083,2,55.983091,37.1778795
Светлое время суток,35,2,55.7314995,37.663831
Светлое время суток,37,3,55.778184333333336,37.460847
Светлое время суток,47,2,55.813373,37.566526
Светлое время суток,49,2,55.5041995,37.5994205
Светлое время суток,2099,3,55.738004000000004,37.525666666666666
Светлое время суток,2102,2,55.728494,37.545691
Светлое время суток,55,4,55.56613875,37.575436249999996
Светлое время суток,2103,2,55.728998000000004,37.446937
Светлое время суток,57,2,55.987616,37.2300215
Светлое время суток,58,3,55.865382333333336,37.505443
Светлое время суток,59,3,55.847295333333335,37.38259766666667
Светлое время суток,2109,2,55.981314,37.251318
Светлое время суток,62,2,55.789233499999995,37.7846055
Светлое время суток,63,2,55.7953405,37.7086075
Светлое время суток,64,2,55.8145035,37.3901655
Светлое время суток,2114,2,55.8087665,37.513375499999995
Светлое время суток,67,3,55.715697666666664,37.88354866666666
Светлое время суток,68,2,55.8612155,37.6919355
Светлое время суток,66,2,55.694410500000004,37.556092
Светлое время суток,75,4,55.821616,37.6238715
Светлое время суток,77,2,55.898013000000006,37.5927845
Светлое время суток,80,2,55.642276,37.346204
Светлое время суток,82,2,55.747203,37.7624025
Светлое время суток,2130,2,55.787026,37.6776605
Светлое время суток,86,2,55.842982500000005,37.35284
Светлое время суток,87,2,55.7084545,37.667902999999995
Светлое время суток,89,2,55.877905,37.5458515
Светлое время суток,2138,2,55.7093675,37.658150500000005
Светлое время суток,92,2,55.4301275,36.8610835
Светлое время суток,2141,2,55.781825,37.722292499999995
Светлое время суток,2142,2,55.703655,37.659545
Светлое время суток,95,2,55.673582499999995,37.1703475
Светлое время суток,94,2,55.833611,37.425812
Светлое время суток,93,2,55.7111685,37.819276
Светлое время суток,2143,2,55.8484755,37.4232315
Светлое время суток,98,4,55.80967,37.781850750000004
Светлое время суток,2158,2,55.725796,37.6705635
Светлое время суток,112,3,55.800413,37.560886
Светлое время суток,2160,2,55.811519000000004,37.3982925
Светлое время суток,114,2,55.758789,37.619848000000005
Светлое время суток,119,4,55.68024875,37.46833575
Светлое время суток,122,2,55.6596405,37.6193385
Светлое время суток,123,2,55.8021945,37.319226
