type,labels,number_of_crashes,center_lat,center_lng
Сухое,0,4,55.50473425,37.52986525
Сухое,1,2,55.792137999999994,37.637271999999996
Сухое,2048,2,55.60386,37.6343375
Сухое,2051,3,55.72602233333333,37.460346333333334
Сухое,4,2,55.592864,37.2920285
Сухое,3,4,55.70383925,37.83293625
Сухое,6,3,55.863644666666666,37.54902033333333
Сухое,2054,2,55.566143,37.575425499999994
Сухое,14,2,55.8570365,37.442597
Сухое,2065,2,55.645058,37.5200375
Сухое,17,2,55.895066,37.673428
Сухое,2068,2,55.6440865,37.656223999999995
Сухое,22,2,55.6520595,37.387504500000006
Сухое,27,2,55.6996405,37.566617
Сухое,30,2,55.8103615,37.522951
Сухое,2081,2,55.867585,37.6774245
Сухое,35,2,55.756676,37.614633999999995
Сухое,37,5,55.7516176,37.7174656
Сухое,2094,6,55.771483833333335,37.81915266666667
Сухое,50,3,55.66016833333333,37.839563999999996
Сухое,2098,3,55.64169866666666,37.358408
Сухое,2101,2,55.74951,37.4092735
Сухое,2102,3,55.763026333333336,37.734553999999996
Сухое,53,2,55.6604425,37.416183000000004
Сухое,2109,2,55.722316,37.627337
Сухое,64,2,55.715847,37.4017255
Сухое,67,3,55.720425,37.673263666666664
Сухое,68,3,55.72163366666666,37.902335
Сухое,2116,2,55.736607,37.624328
Сухое,2117,2,55.609075,37.6133895
Сухое,72,2,55.632723,37.444297500000005
Сухое,73,2,55.629467500000004,37.5170875
Сухое,75,6,55.622122,37.61502933333333
Сухое,2129,2,55.7097905,37.655505500000004
Сухое,82,3,55.880310333333334,37.58637433333333
Сухое,83,2,55.6975215,37.785464000000005
Сухое,81,2,55.8744565,37.4066665
Сухое,2133,3,55.778184333333336,37.460847
Сухое,86,2,55.5713845,37.2022175
Сухое,2135,2,55.767270499999995,37.5292005
Сухое,2130,2,55.6465385,37.669657
Сухое,92,2,55.7980395,37.7291
Сухое,96,2,55.800304499999996,37.331639499999994
Сухое,2145,2,55.899950000000004,37.6278305
Сухое,98,2,55.79936,37.8052265
Сухое,99,3,55.72481833333333,37.605615
Сухое,2148,2,55.715215,37.796906
Сухое,101,3,55.611281,37.722126
Сухое,2147,2,55.877140499999996,37.5862245
Сухое,97,2,55.952528,37.34762
Сухое,105,2,55.747973,37.8767505
Сухое,2155,2,55.894452,37.696141
Сухое,2158,3,55.728866000000004,37.49339833333333
Сухое,2160,2,55.898070000000004,37.58749
Сухое,2161,2,55.6647545,37.471141
Сухое,112,4,55.675951,37.857003750000004
Сухое,115,2,55.7467625,37.424341999999996
Сухое,2164,2,55.7531595,37.605643
Сухое,2162,2,55.747018999999995,37.685148999999996
Сухое,123,4,55.776448,37.58558825
Сухое,124,2,55.8834505,37.46693
Сухое,134,2,55.8551485,37.7789355
Сухое,2183,3,55.75731733333333,37.63249
Сухое,136,2,55.664924,37.440296000000004
Сухое,137,2,55.807075499999996,37.615841
Сухое,138,2,55.573729,37.633565000000004
Сухое,2189,2,55.581458999999995,37.597258499999995
Сухое,141,3,55.702010666666666,37.621497
Сухое,2191,2,55.8479095,37.359083999999996
Сухое,144,2,55.252041,37.165321
Сухое,2193,3,55.784064666666666,37.699159333333334
Сухое,143,2,55.788027,37.371594
Сухое,147,4,55.87895825,37.486245
Сухое,149,3,55.763295666666664,37.560650333333335
Сухое,2197,2,55.9090465,37.555266
Сухое,152,2,55.776902,37.7372165
Сухое,156,2,55.6709355,37.62635
Сухое,2205,3,55.74730066666667,37.582436666666666
Сухое,158,2,55.755786,37.369136999999995
Сухое,160,2,55.7815115,37.6697105
Сухое,161,4,55.76771525,37.5257215
Сухое,166,2,55.850081,37.475883499999995
Сухое,2217,3,55.546056666666665,37.58518333333333
Сухое,2218,2,55.693766499999995,37.620996500000004
Сухое,173,2,55.690884499999996,37.717266
Сухое,175,2,55.71704,37.77569
Сухое,176,2,55.87532,37.6617445
Сухое,179,3,55.847383666666666,37.37343533333333
Сухое,180,2,55.70286900000001,37.671835
Сухое,2229,2,55.8497225,37.674533
Сухое,183,2,55.878834499999996,37.557567
Сухое,184,2,55.429908499999996,36.961409
Сухое,187,2,55.5715245,37.5985515
Сухое,189,2,55.7989565,37.7749765
Сухое,2238,2,55.711782,37.666229
Сухое,192,2,55.6765225,37.764532
Сухое,2243,2,55.7167625,37.899903
Сухое,2244,2,55.7939535,37.819222499999995
