type,labels,number_of_crashes,center_lat,center_lng
Ясно,1,2,55.746484,37.4194605
Ясно,2,2,55.5523845,37.5343875
Ясно,3,2,55.7776955,37.584856
Ясно,2049,2,55.8295405,37.589330000000004
Ясно,2050,2,55.746952,37.663611
Ясно,2054,3,55.676763666666666,37.566054
Ясно,10,2,55.821387,37.623673
Ясно,12,2,55.746314999999996,37.681952
Ясно,2062,2,55.5713845,37.2022175
Ясно,2064,2,55.811099999999996,37.5790415
Ясно,17,2,55.747973,37.8767505
Ясно,18,2,55.7768925,37.529587
Ясно,19,2,55.6416825,37.35844
Ясно,2070,2,55.7463695,37.841699000000006
Ясно,24,2,55.621750500000005,37.6149935
Ясно,2074,2,55.9017125,37.6189255
Ясно,28,2,55.7557765,37.737843999999996
Ясно,29,2,55.727826,37.6230135
Ясно,30,2,55.839362,37.3635845
Ясно,31,4,55.7265965,37.54883425
Ясно,2079,2,55.720119,37.778356
Ясно,37,2,55.7474475,37.4953615
Ясно,2085,4,55.77467825,37.53993175
Ясно,40,3,55.87075466666667,37.632511666666666
Ясно,44,2,55.5648755,37.178641
Ясно,45,2,55.679846999999995,37.850019
Ясно,46,2,55.794807,37.708420000000004
Ясно,2098,2,55.733154,37.6243595
Ясно,58,4,55.72452825,37.82740825
Ясно,2107,3,55.83293333333334,37.396102
Ясно,2110,2,55.807075499999996,37.615841
Ясно,62,2,55.6755,37.50432
Ясно,2111,2,55.7993125,37.5345755
Ясно,64,2,55.7152575,37.4086455
Ясно,69,3,55.79723233333333,37.769244
Ясно,2118,2,55.910583,37.5826835
Ясно,70,2,55.7333595,37.57601
Ясно,2120,2,55.723207,37.622391
Ясно,2119,2,55.717698999999996,37.568334
Ясно,77,2,55.9090465,37.555266
Ясно,82,2,55.7470945,37.814936
Ясно,2131,2,55.791634,37.5739935
Ясно,85,2,55.536946,37.496885
Ясно,86,3,55.59241866666667,37.525374
Ясно,89,2,55.7939205,37.572153
Ясно,90,3,55.77521333333333,37.83606266666666
Ясно,91,2,55.679021000000006,37.532596
Ясно,2138,2,55.67678600000001,37.484155
Ясно,93,2,55.642497,37.594072
Ясно,96,2,55.6108265,37.717486
Ясно,97,3,55.853348,37.42135033333333
Ясно,2145,2,55.792137999999994,37.637271999999996
Ясно,98,4,55.746054,37.558299500000004
Ясно,100,3,55.74730066666667,37.582436666666666
Ясно,2151,2,55.597944,37.480346499999996
Ясно,104,2,55.566143,37.575425499999994
Ясно,106,2,55.796306,37.612408
Ясно,107,3,55.732092333333334,37.67096033333333
Ясно,108,2,55.774840999999995,37.684205
Ясно,109,2,55.6709355,37.62635
Ясно,110,3,55.658372666666665,37.54178533333334
Ясно,111,2,55.691283999999996,37.727453
Ясно,2160,2,55.821655,37.662565
Ясно,2159,2,55.885075,37.4745315
Ясно,2161,3,55.822588333333336,37.495018
Ясно,117,2,55.696052,37.554193
Ясно,119,2,55.673582499999995,37.1703475
Ясно,2167,2,55.7924005,37.558029
Ясно,121,2,55.901448,37.5871255
Ясно,124,2,55.810976499999995,37.5808705
Ясно,125,2,55.902314000000004,37.616415
Ясно,2173,2,55.792536,37.49209449999999
Ясно,2179,2,55.811027499999994,37.811771
Ясно,131,2,55.725651,37.4961605
Ясно,133,3,55.843558333333334,37.439228666666665
Ясно,140,3,55.69665966666667,37.806122333333334
Ясно,148,2,55.6535425,37.4893375
Ясно,149,2,55.567366,37.4815645
Ясно,154,2,55.856241499999996,37.6846075
Ясно,155,2,55.806491,37.394661
Ясно,2204,2,55.8131315,37.5826785
Ясно,2206,2,55.72043,37.673277999999996
Ясно,2213,2,55.7393245,37.7607285
Ясно,2214,2,55.762909,37.563152
Ясно,2216,2,55.739279499999995,37.531346
Ясно,2217,2,55.82472,37.432421
Ясно,170,2,55.642790500000004,37.4550425
Ясно,168,2,55.64649300000001,37.516920999999996
Ясно,176,2,55.747538,37.6508655
Ясно,177,2,55.647159,37.390927000000005
Ясно,183,2,55.5873135,37.547107
Ясно,185,2,55.429908499999996,36.961409
Ясно,186,3,55.634658333333334,37.699895999999995
Ясно,187,2,55.663873499999994,37.609071
Ясно,190,3,55.61748333333333,37.386392666666666
